Year,RWI,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,January,February,March,April,May.1,June,July,August,September,October,November,December,p.Jan,p.Feb,p.Mar,p.Apr,p.May,p.Jun,p.Jul,p.Aug,p.Sep,p.Oct,p.Nov,p.Dec,p.January,p.February,p.March,p.April,p.May.1,p.June,p.July,p.August,p.September,p.October,p.November,p.December
1913,0.833,-14.3,-8.7,-8.2,-1.4,3,6.6,11.6,10.1,5.2,-2,-4.3,-9.3,20,16,13,3,28,25,48,9,14,27,18,16,,,,,,,,,,,,,,,,,,,,,,,,
1914,1.031,-8.7,-10.4,-7.9,-1.6,1.8,6.8,11.8,9.4,5,0,-3.5,-8.5,24,10,20,15,14,58,32,23,45,5,13,7,-14.3,-8.7,-8.2,-1.4,3,6.6,11.6,10.1,5.2,-2,-4.3,-9.3,20,16,13,3,28,25,48,9,14,27,18,16
1915,1.017,-12.8,-13.1,-11,-3.3,-0.4,5,12.7,9.7,3.4,-0.2,-8,-17.2,5,12,10,25,38,4,105,6,15,4,21,10,-8.7,-10.4,-7.9,-1.6,1.8,6.8,11.8,9.4,5,0,-3.5,-8.5,24,10,20,15,14,58,32,23,45,5,13,7
1916,0.992,-9.2,-10,-13.1,-3.7,0.8,8.5,13.7,8.3,4,-4,-3.5,-10.1,21,23,3,16,20,7,48,32,25,9,18,10,-12.8,-13.1,-11,-3.3,-0.4,5,12.7,9.7,3.4,-0.2,-8,-17.2,5,12,10,25,38,4,105,6,15,4,21,10
1917,0.919,-10.4,-14,-12.4,-7.2,-0.5,8,8.3,12.4,3.9,-0.7,-6.8,-11.2,11,26,8,11,22,25,26,37,53,17,31,26,-9.2,-10,-13.1,-3.7,0.8,8.5,13.7,8.3,4,-4,-3.5,-10.1,21,23,3,16,20,7,48,32,25,9,18,10
1918,0.988,-18.4,-9.8,-5.1,-2.2,1.7,7.9,13.7,9.1,4.9,0.5,-1,-10.1,49,12,15,5,14,48,32,27,14,20,25,7,-10.4,-14,-12.4,-7.2,-0.5,8,8.3,12.4,3.9,-0.7,-6.8,-11.2,11,26,8,11,22,25,26,37,53,17,31,26
1919,1.141,-10.3,-13.7,-9.1,-5.2,4.7,10.4,11.3,8.2,4.5,-2.4,-9.8,-14.4,3,14,9,27,4,39,55,73,51,35,7,8,-18.4,-9.8,-5.1,-2.2,1.7,7.9,13.7,9.1,4.9,0.5,-1,-10.1,49,12,15,5,14,48,32,27,14,20,25,7
1920,1.207,-10.7,-6.4,-1.8,-1.1,4.4,7.7,12,9.4,7.6,1.4,-2.3,-5,20,24,12,14,17,42,63,36,42,19,23,7,-10.3,-13.7,-9.1,-5.2,4.7,10.4,11.3,8.2,4.5,-2.4,-9.8,-14.4,3,14,9,27,4,39,55,73,51,35,7,8
1921,0.764,-11.1,-9.2,-5.9,0.9,3.7,7,9.6,9.4,4.9,-1.9,-6.3,-8.8,27,24,14,17,46,71,53,111,23,42,13,11,-10.7,-6.4,-1.8,-1.1,4.4,7.7,12,9.4,7.6,1.4,-2.3,-5,20,24,12,14,17,42,63,36,42,19,23,7
1922,1.516,-12.8,-12.2,-10.6,-3.1,4,9.6,12.8,9.9,6.3,0.3,-5.1,-10.8,5,10,5,9,14,84,26,44,15,17,35,13,-11.1,-9.2,-5.9,0.9,3.7,7,9.6,9.4,4.9,-1.9,-6.3,-8.8,27,24,14,17,46,71,53,111,23,42,13,11
1923,0.988,-7.5,-12.1,-5.3,-4,2,4.2,10,8.3,5.2,-0.8,-5.8,-9.7,13,6,6,1,25,20,92,16,30,11,11,11,-12.8,-12.2,-10.6,-3.1,4,9.6,12.8,9.9,6.3,0.3,-5.1,-10.8,5,10,5,9,14,84,26,44,15,17,35,13
1924,0.96,-11.2,-15.1,-11.1,-4.1,2.2,6.2,13.5,11.9,5.9,2,-2.1,-3.9,17,11,16,6,15,34,10,24,40,13,19,25,-7.5,-12.1,-5.3,-4,2,4.2,10,8.3,5.2,-0.8,-5.8,-9.7,13,6,6,1,25,20,92,16,30,11,11,11
